ticker,bench,corr,beta,sig,print_sigma_pos,print_sigma_neg,dev_best_ranges,bench_best_ranges,time_best_peak_ranges,time_best_norm_ranges
AIRO,IWM,0.89,1.9,3.8,-0.045789,-0.204474,0.3–0.9;1.1,0.0–0.1;0.4–0.5;0.7,02:30;05:00;06:00–09:30,06:30;09:00
AIRR,IWM,0.97,1.03,0.76,-0.05,-0.272237,0.2;0.4–0.6,0.0–0.1,,09:00
AIS,IWM,0.92,1.56,1.81,1.626519,-0.73547,2.7,0.3,,09:00
AIT,IWM,0.87,0.67,0.75,0.489467,-0.77,0.6,0.5,,09:00
AIZ,XLF,0.57,0.54,0.56,1.062857,-0.276071,0.8,0.2;0.4,,
AJG,XLF,0.18,0.15,1.05,0.180952,-0.498095,0.2,0.2,,
AKAM,IWM,0.83,0.61,1.12,0.222143,-0.32125,0.2–0.3,0.1;0.4,04:30–09:30,09:00
AKR,IWM,0.55,0.31,0.56,0.82625,-0.804107,0.8,0.2,,09:00
AKRE,IWM,0.75,0.07,0.27,2.407407,0.101481,,,,
AKRO,IWM,0.3,0.07,2.57,0.501051,-0.461401,,,,09:00
AL,XLF,0.36,0.13,0.8,0.472375,-0.40925,0.3;0.5,0.2,,
ALAB,IWM,0.86,3.04,3.43,1.412012,-1.907055,0.2;0.4–0.5;0.9,0.0–0.4,00:00–00:30;02:00;04:00–04:30;05:30;07:00;08:00–09:30,09:00
ALAI,QQQ,0.96,1.41,0.99,1.150606,-1.247172,0.5;2.7,0.0–0.1,,09:00
ALAR,SPY,0.42,0.78,2.04,0.287157,-0.29098,0.4–0.5,0.0–0.1;0.4,05:00–09:30,09:00
ALB,IWM,0.74,2.14,2.32,0.876466,-1.50681,0.5–0.6,0.0–0.2,00:00;04:00;06:30;07:30–09:30,08:30–09:00
ALC,IWM,0.3,0.29,1.53,0.483595,-0.274902,0.2–0.3,0.3–0.4,05:00,08:30
ALE,XLE,0.4,0.08,0.16,2.455,-3.245,2.7,0.3,,
ALEX,SPY,0.5,0.1,0.49,0.820408,-1.269388,0.8,0.1,,
ALG,IWM,0.75,0.47,0.68,0.900588,-0.745441,0.3;0.6,0.0,,09:00
ALGM,IWM,0.95,1.8,1.89,1.392593,0.093122,2.7,0.3–0.5,03:00,09:00
ALGN,IWM,0.78,0.98,1.51,0.493775,-0.370728,0.2–0.5,0.0;0.2;0.4–0.5,01:30,08:00;09:00
ALGT,IWM,0.85,1.34,1.27,-0.543937,0.047402,1.2;2.7,0.1,,09:00
ALH,SPY,0.42,0.38,1.15,-0.295826,-0.513391,,,,09:00
ALHC,SPY,0.08,0.24,1.38,0.675942,-0.181159,0.2,0.1,00:00,09:00
ALK,IWM,0.87,1.01,1.28,-0.308047,-0.281094,0.2–0.6;0.9,0.0;0.2–0.4,00:00;02:00–02:30;07:00–09:30,08:00;09:00
ALKS,SPY,0.28,0.49,2.56,0.21793,-0.348477,0.3,0.0,,09:00
ALKT,SPY,0.89,2.17,1.35,1.079481,-2.397481,2.7,0.0–0.1;0.3–0.4,,09:00
ALL,XLF,0.35,0.54,0.7,0.884,-0.359714,0.3–0.4;0.6,0.0;0.2,02:00–09:30,09:00
ALLE,IWM,0.75,0.48,0.52,1.13,-1.535385,0.6,0.2–0.3,03:00–09:30,09:00
ALLW,IWM,0.71,0.4,0.31,0.929032,-0.858065,0.7,0.2,,09:00
ALLY,XLF,0.87,1.65,1.0,0.451,-1.111,0.5,0.0–0.3,,09:00
ALMU,SPY,0.93,2.83,2.44,2.051967,-0.379098,2.7,0.0–0.2,05:30,09:00
ALNT,SPY,0.91,1.78,1.2,1.082167,-1.112167,2.7,0.1,,09:00
ALNY,IWM,0.49,0.47,1.05,0.730476,-0.416095,0.6,0.1;0.5,03:00–09:30,09:00
ALRM,IWM,0.9,0.53,0.68,0.723676,-0.352647,0.5,0.2–0.3,,
ALSN,SPY,0.9,1.13,0.91,-0.523956,-0.531319,0.2;0.4,0.1–0.2,,09:00
ALTY,NONE,0.69,0.68,0.82,,,,,,
ALV,IWM,0.69,0.68,0.82,0.579512,-0.213659,0.2;0.4,0.0;0.2;0.4,03:00–09:30,08:00;09:00
ALX,IWM,0.65,0.36,0.49,0.982857,-0.96898,0.6–0.7;1.2,0.1–0.2;0.5,,09:00
AM,XLE,0.81,0.52,0.47,0.82383,-0.422979,0.9,0.2–0.3;0.6,,09:00
AMAL,KRE,0.95,1.07,0.64,0.266719,0.166563,0.6,0.2;0.4–0.5,,
AMAT,SOXL,0.88,0.31,2.5,0.86968,-1.82692,0.2;0.4–0.5;0.8,3.0,00:00–00:30;04:30;05:30;07:00,08:00;09:00
AMBA,SPY,0.95,3.23,2.83,2.02364,0.633993,1.4,0.0–0.1,03:00;07:00–09:30,09:00
AMBQ,IWM,0.74,0.78,1.71,0.684795,-0.18152,0.9,0.4,,09:00
AMD,IWM,0.61,1.4,5.08,0.484252,-0.332283,0.2–0.4,0.1–0.2;0.4,03:00;04:00–05:00;06:30,08:30
AMDD,QQQ,-0.57,-1.8,5.07,0.521105,-0.458777,0.2–0.4,0.3,02:00;04:00;05:30;07:00,08:00
AMDG,SPY,0.6,4.56,10.2,1.711333,-1.319961,0.2;1.1,0.0;0.2,02:00;03:00;04:30;05:30–06:00;07:00–09:30,08:00;09:00
AMDL,SPY,0.6,4.87,10.16,1.83563,-1.519183,0.2–0.5;0.7–0.8;1.5,0.0–0.2;0.4,00:00–01:00;02:00;03:00–06:00;07:00;08:00–08:30,07:00
AMDU,SPY,0.49,4.14,9.99,0.693774,-1.6816119999999999,,,00:30–09:30,
AMDW,IWM,0.58,1.56,5.89,0.567199,-0.363735,0.4–0.5,0.0;0.2,,09:00
AME,IWM,0.83,0.5,0.91,0.851648,-0.692308,0.4–0.6,0.5,,09:00
AMED,NONE,0.73,1.48,0.82,,,,,,
AMG,XLF,0.73,1.48,0.82,0.434634,-0.139512,0.8;1.0;1.4,0.1,,09:00
AMGN,IWM,0.4,0.17,0.51,0.928824,-0.544314,0.3;0.5,0.1,02:30;05:30,08:00;09:00
AMH,IWM,0.3,0.05,0.36,0.813889,-1.088889,1.0;1.5,0.2,,09:00
AMKR,SPY,0.9,3.32,2.81,0.654662,-1.799573,0.6,0.0–0.3,00:00;02:00;03:30;07:00–09:30,08:00;09:00
AMLP,QQQ,0.67,0.19,0.28,0.821786,-3.013929,1.6,0.2–0.3,,09:00
AMN,IWM,0.8,0.89,1.2,0.712833,-0.945667,0.6,0.0–0.1,,08:30–09:00
AMP,XLF,0.89,1.1,0.66,0.774242,-0.090909,0.4;0.6,0.0–0.4,,
AMPH,IWM,0.19,0.04,1.11,0.513874,-0.472432,0.2,0.2,,09:00
AMPL,SPY,0.9,2.44,1.42,-1.424789,-0.999718,2.3;2.7,0.0;0.3–0.4,04:00–09:30,09:00
AMR,IWM,0.79,1.56,1.63,0.266994,-0.819387,0.8,0.3–0.4,,09:00
AMRC,IWM,0.87,2.11,3.18,-0.066415,-0.416226,1.0,0.0;0.2;0.4,03:00–09:30,09:00
AMRK,IWM,0.84,1.35,1.7,0.103529,-0.223529,0.4,0.1–0.3,03:30,09:00
AMRN,SPY,0.54,0.16,0.96,0.53375,-0.63875,0.4,0.1,,09:00
AMRZ,IWM,0.49,0.27,1.15,0.561391,-0.423043,0.2–0.3,0.0;0.3,03:30,08:00
AMSC,SPY,0.92,4.14,4.14,0.729565,-1.931643,2.7,0.0–0.2,00:00–01:00;04:30,09:00
AMSF,XLF,0.68,0.28,0.42,0.514286,-1.051429,0.6,0.1–0.2,,09:00
AMT,IWM,-0.2,0.15,0.67,1.240299,-0.335821,0.3,0.1–0.2,03:00–09:30,09:00
AMTM,IWM,0.78,0.92,0.99,0.098586,-0.731313,0.4–0.8,0.1;0.4–0.5;0.7,00:00;03:00;05:30,09:00
AMUU,SPY,0.6,4.87,10.17,1.948751,-1.297414,0.4,0.0;0.2,01:00;03:00–03:30;04:30;07:00–09:30,09:00
AMWD,IWM,0.82,0.95,1.13,0.522566,-0.413717,0.5;1.0;2.7,0.1,,09:00
AMX,SPY,0.75,0.82,0.63,-0.132381,-0.115238,,0.0;0.2–0.3,,09:00
AMYY,IWM,0.55,0.59,1.31,0.255725,-0.382672,,,01:00–09:30,09:00
AMZA,IWM,0.44,0.0,0.44,1.090909,-2.113636,0.7,0.2–0.4,,
AMZD,IWM,-0.62,-0.54,1.8,0.401556,-0.235222,0.2–0.3,0.1–0.2,04:00–09:30,08:00–09:00
AMZN,SPY,0.79,1.09,1.78,0.482865,-0.292416,0.2–0.3,0.0;0.2–0.4,02:30–03:00;05:00–05:30;07:00–09:30,04:00
AMZP,SPY,0.72,1.2,1.35,0.927407,-0.5785185,,,,09:00
AMZU,IWM,0.68,1.03,3.56,0.621208,-0.426208,0.2–0.4,0.1–0.5,01:30;02:30–04:00;05:00;07:00–09:30,04:00;07:00
AMZW,IWM,0.71,0.51,2.17,0.260507,-0.466452,0.4–0.5,,,09:00
